"NAME","SIDE","STATUS","POINTS","EQUIPMENT","CATEGORY(s)","30 Seconds","60 Seconds","ANATOMY LISTING CODE","GROUP","ID"
"Hanging Clocks","/","PAID","4","CHINUP or HANGING BAR","L , O, BUR","4","NA","BUR","2","1"
"Hanging Leg Spirals","/","PAID","3","CHINUP or HANGING BAR","L , O","3","4","L ","2","2"
"Hanging Bent Leg Spirals","/","PAID","2","CHINUP or HANGING BAR","L , O","2","3","O","1","3"
"Hanging Knee Raises ","/","PAID","2","CHINUP or HANGING BAR","L","2","3","L","2","4"
"Hanging Bicycles ","/","PAID","3","CHINUP or HANGING BAR","L","3","4","L","2","5"
"Hanging Bicycle Climbs ","/","PAID","4","CHINUP or HANGING BAR","L","4","NA","L","2","6"
"Hanging Windshield Wipers","/","PAID","3","CHINUP or HANGING BAR","L , O, BUR","3","4","BUR","1","7"
"Hanging Dropping +L+ Raises","/","PAID","4","CHINUP or HANGING BAR","L","4","NA","L","2","8"
"Hanging Bat Crunch","/","PAID","5","CHINUP or HANGING BAR","L","4","NA","L","2","9"
"Hanging +X+ Raises ","/","PAID","3","CHINUP or HANGING BAR","L","3","4","L","2","10"
"Hanging Scissor Raises ","/","PAID","3","CHINUP or HANGING BAR","L, O","3","4","L","1","11"
"
Twisting Pistons ","/","PAID","3","NO EQUIPMENT","BUR, M","3","4","BUR","2","12"
"Cross Knee Planks ","/","FREE","0","NO EQUIPMENT","BUR, M","1","2","BUR","FREE","13"
"Alligator Walk Planks ","/","PAID","4","NO EQUIPMENT","M","4","NA","M","1","14"
"Walk the Plank","/","FREE","0","NO EQUIPMENT","M","4","NA","M","FREE","15"
"Sidewalk Planks ","/","PAID","4","NO EQUIPMENT","M","4","NA","M","2","16"
"Tuck Planks (opposite side)","/","FREE","0","NO EQUIPMENT","TDR, BUR","2","3","TDR","FREE","17"
"Tuck Planks (same side)","/","PAID","3","NO EQUIPMENT","TDR, BUR","3","4","TDR","1","18"
"Plank Switches","/","PAID","3","TENNIS BALL","M","3","4","M","1","19"
"Marching Planks ","/","FREE","0","NO EQUIPMENT","M","1","2","M","FREE","20"
"Sprinter Tuck Planks","/","PAID","2","NO EQUIPMENT","TDR, BUR","2","3","TDR","2","21"
"Cliffhanger Planks","/","PAID","5","NO EQUIPMENT","M","4","NA","M","2","22"
"Twisted +T+ Planks","/","FREE","0","NO EQUIPMENT","TDR","2","3","TDR","FREE","23"
"Cross Hop Planks","/","PAID","3","NO EQUIPMENT","M","3","4","M","2","24"
"Wall Tuck Planks","/","PAID","2","NO EQUIPMENT","M, BUR","2","3","BUR","1","25"
"Suspension Planks","/","PAID","3","RESISTANCE BAND","TDR, M","3","4","M","2","26"
"Cyclone Twists (center to side)","/","PAID","2","RESISTANCE BAND","TDR, O","2","3","TDR","1","27"
"Cyclone Twists (side to center)","/","PAID","2","RESISTANCE BAND","TDR, O","2","3","TDR","1","28"
"Knockouts","x2","PAID","2","RESISTANCE BAND","TDR","2","3","TDR","2","29"
"Uppercuts","x2","PAID","2","RESISTANCE BAND","TDR, O","2","3","TDR","2","30"
"Knucklebreakers","x2","PAID","3","RESISTANCE BAND","TDR, BUR","3","4","TDR","2","31"
"Woodchoppers","x2","PAID","1","RESISTANCE BAND","TDR","1","2","TDR","2","32"
"Core Death March","/","PAID","3","RESISTANCE BAND","M, T","3","4","M","2","33"
"Leaning Towers","x2","PAID","3","RESISTANCE BAND","TDR","3","4","TDR","2","34"
"Oak Tree Step Outs","x2","PAID","2","RESISTANCE BAND","M, TDR","2","3","TDR","1","35"
"Oak Tree Jumpouts","x2","PAID","3","RESISTANCE BAND","M, TDR","3","4","TDR","2","36"
"Standing Ab Twists","/","FREE","0","NO EQUIPMENT","TDR","1","2","TDR","FREE","37"
"Rib Crushers","/","PAID","3","RESISTANCE BAND","O","3","4","O","2","38"
